GenreNumber,Title,MoNu,Myrating,Genre,MyGenre,Director Name,RandomWord
2092,Moonraker,1092,4,Action,hell-rake,Lewis Gilbert,zef
2093,Star Trek: The Motion Picture,1093,33,Adventure,triphylite,Robert Wise,zerf
2094,The Rose,1094,12,Drama,distancy,Mark Rydell, xrd
2095,Airplane!,1095,77,Comedy,spinnies,Jim Abrahams,gbc
2096,Caddyshack,1096,26,Comedy,resmethrin,Harold Ramis,vd
2097,Can't Stop the Music,1097,12,Biography,angledozer,Nancy Walker,sef
2098,Dressed to Kill,1098,56,Mystery,ethoxylate,Brian De Palma,zef
2099,Heaven's Gate,1099,74,Adventure,ursidae,Michael Cimino,zerf
2100,Ordinary People,1100,12,Drama,whippowill,Robert Redford, xrd
2101,Private Benjamin,1101,62,Comedy,silurid,Howard Zieff,gbc
2102,Raging Bull,1102,21,Biography,bardiche,Martin Scorsese,vd
2103,Raise the Titanic,1103,92,Action,logicists,Jerry Jameson,sef
2104,Star Wars: Episode V - The Empire Strikes Back,1104,51,Action,parroter,Irvin Kershner,zef
2105,Superman II,1105,11,Action,hell-rake,Richard Lester,zerf
2106,The Blues Brothers,1106,23,Action,triphylite,John Landis, xrd
2107,The Fog,1107,61,Fantasy,distancy,John Carpenter,gbc
2108,Chariots of Fire,1108,12,Biography,spinnies,Hugh Hudson,vd
2109,Das Boot,1109,69,Adventure,resmethrin,Wolfgang Petersen,sef
2110,Dragonslayer,1110,98,Action,angledozer,Matthew Robbins,zef
2111,Escape from New York,1111,18,Action,ethoxylate,John Carpenter,zerf
2112,For Your Eyes Only,1112,24,Action,ursidae,John Glen, xrd
2113,Friday the 13th Part 2,1113,11,Horror,whippowill,Steve Miner,gbc
2114,Mad Max 2: The Road Warrior,1114,32,Action,silurid,George Miller,vd
2115,Porky's,1115,88,Comedy,bardiche,Bob Clark,sef
2116,Raiders of the Lost Ark,1116,45,Action,logicists,Steven Spielberg,zef
2117,Roar,1117,30,Adventure,parroter,Noel Marshall,zerf
2118,Sphinx,1118,3,Adventure,hell-rake,Franklin J. Schaffner, xrd
2119,Stripes,1119,2,Action,triphylite,Ivan Reitman,gbc
2120,The Beyond,1120,5,Horror,distancy,Lucio Fulci,vd
2121,The Howling,1121,81,Horror,spinnies,Joe Dante,sef
2122,The Legend of the Lone Ranger,1122,44,Action,resmethrin,William A. Fraker,zef
2123,Time Bandits,1123,14,Adventure,angledozer,Terry Gilliam,zerf
2124,Under the Rainbow,1124,81,Comedy,ethoxylate,Steve Rash, xrd
2125,Blade Runner,1125,37,Sci-Fi,ursidae,Ridley Scott,gbc
2126,Conan the Barbarian,1126,77,Adventure,whippowill,John Milius,vd
2127,Diner,1127,84,Comedy,silurid,Barry Levinson,sef
2128,E.T. the Extra-Terrestrial,1128,92,Family,bardiche,Steven Spielberg,zef
2129,Firefox,1129,85,Action,logicists,Clint Eastwood,zerf
2130,Friday the 13th Part III,1130,11,Horror,parroter,Steve Miner, xrd
2131,Halloween III: Season of the Witch,1131,88,Horror,hell-rake,Tommy Lee Wallace,gbc
2132,Megaforce,1132,89,Action,triphylite,Hal Needham,vd
2133,Poltergeist,1133,56,Fantasy,distancy,Tobe Hooper,sef
2134,Star Trek II: The Wrath of Khan,1134,78,Action,spinnies,Nicholas Meyer,zef
2135,The Best Little Whorehouse in Texas,1135,56,Comedy,resmethrin,Colin Higgins,zerf
2136,The Thing,1136,67,Horror,angledozer,John Carpenter, xrd
2137,The Verdict,1137,95,Drama,ethoxylate,Sidney Lumet,gbc
2138,Tootsie,1138,47,Comedy,ursidae,Sydney Pollack,vd
2139,Flashdance,1139,4,Drama,whippowill,Adrian Lyne,sef
2140,Lone Wolf McQuade,1140,81,Action,silurid,Steve Carver,zef
2141,National Lampoon's Vacation,1141,93,Adventure,bardiche,Harold Ramis,zerf
2142,Never Say Never Again,1142,81,Action,logicists,Irvin Kershner, xrd
2143,Octopussy,1143,14,Action,parroter,John Glen,gbc
2144,Scarface,1144,93,Crime,hell-rake,Brian De Palma,vd
2145,Star Wars: Episode VI - Return of the Jedi,1145,95,Action,triphylite,Richard Marquand,sef
2146,Superman III,1146,43,Action,distancy,Richard Lester,zef
2147,The Outsiders,1147,82,Crime,spinnies,Francis Ford Coppola,zerf
2148,The Right Stuff,1148,1,Adventure,resmethrin,Philip Kaufman, xrd
2149,Twilight Zone: The Movie,1149,37,Fantasy,angledozer,Joe Dante,gbc
2150,WarGames,1150,52,Sci-Fi,ethoxylate,John Badham,vd
2151,Yentl,1151,92,Drama,ursidae,Barbra Streisand,sef
2152,A Nightmare on Elm Street,1152,43,Horror,whippowill,Wes Craven,zef
2153,A Passage to India,1153,12,Adventure,silurid,David Lean,zerf
2154,Amadeus,1154,14,Biography,bardiche,Milos Forman, xrd
2155,Beverly Hills Cop,1155,41,Action,logicists,Martin Brest,gbc
2156,Conan the Destroyer,1156,90,Action,parroter,Richard Fleischer,vd
2157,Dune,1157,56,Action,hell-rake,David Lynch,sef
2158,Firestarter,1158,37,Action,triphylite,Mark L. Lester,zef
2159,Footloose,1159,41,Drama,distancy,Herbert Ross,zerf
2160,Friday the 13th: The Final Chapter,1160,63,Horror,spinnies,Joseph Zito, xrd
2161,Gremlins,1161,32,Comedy,resmethrin,Joe Dante,gbc
2162,Indiana Jones and the Temple of Doom,1162,7,Action,angledozer,Steven Spielberg,vd
2163,Once Upon a Time in America,1163,46,Crime,ethoxylate,Sergio Leone,sef
2164,Police Academy,1164,29,Comedy,ursidae,Hugh Wilson,zef
2165,Splash,1165,34,Comedy,whippowill,Ron Howard,zerf
2166,Star Trek III: The Search for Spock,1166,39,Action,silurid,Leonard Nimoy, xrd
2167,The Bounty,1167,65,Action,bardiche,Roger Donaldson,gbc
2168,The Cotton Club,1168,28,Crime,logicists,Francis Ford Coppola,vd
2169,The Hotel New Hampshire,1169,82,Comedy,parroter,Tony Richardson,sef
2170,The Karate Kid,1170,39,Action,hell-rake,John G. Avildsen,zef
2171,The Terminator,1171,29,Action,triphylite,James Cameron,zerf
2172,A Nightmare on Elm Street 2: Freddy's Revenge,1172,51,Fantasy,distancy,Jack Sholder, xrd
2173,A Room with a View,1173,74,Drama,spinnies,James Ivory,gbc
2174,A View to a Kill,1174,32,Action,resmethrin,John Glen,vd
2175,Back to the Future,1175,23,Adventure,angledozer,Robert Zemeckis,sef
2176,Brazil,1176,97,Drama,ethoxylate,Terry Gilliam,zef
2177,Friday the 13th: A New Beginning,1177,6,Horror,ursidae,Danny Steinmann,zerf
2178,Mad Max Beyond Thunderdome,1178,98,Action,whippowill,George Miller, xrd
2179,Out of Africa,1179,64,Biography,silurid,Sydney Pollack,gbc
2180,Pale Rider,1180,43,Western,bardiche,Clint Eastwood,vd
2181,Rambo: First Blood Part II,1181,56,Action,logicists,George P. Cosmatos,sef
2182,Silverado,1182,37,Action,parroter,Lawrence Kasdan,zef
2183,The Color Purple,1183,54,Drama,hell-rake,Steven Spielberg,zerf
2184,The Last Dragon,1184,60,Action,triphylite,Michael Schultz, xrd
2185,Witness,1185,70,Crime,distancy,Peter Weir,gbc
2186,Young Sherlock Holmes,1186,86,Adventure,spinnies,Barry Levinson,vd
2187,9Â? Weeks,1187,49,Drama,resmethrin,Adrian Lyne,sef
2188,Aliens,1188,74,Action,angledozer,James Cameron,zef
2189,April Fool's Day,1189,19,Horror,ethoxylate,Fred Walton,zerf
2190,Big Trouble in Little China,1190,64,Action,ursidae,John Carpenter, xrd
2191,Crocodile Dundee,1191,82,Adventure,whippowill,Peter Faiman,gbc
2192,Highlander,1192,4,Action,silurid,Russell Mulcahy,vd
2193,Howard the Duck,1193,33,Action,bardiche,Willard Huyck,sef
2194,Invaders from Mars,1194,12,Horror,logicists,Tobe Hooper,zef
2195,Jason Lives: Friday the 13th Part VI,1195,77,Horror,parroter,Tom McLoughlin,zerf
2196,Legal Eagles,1196,26,Comedy,hell-rake,Ivan Reitman, xrd
2197,Little Shop of Horrors,1197,12,Comedy,triphylite,Frank Oz,gbc
2198,Peggy Sue Got Married,1198,56,Comedy,distancy,Francis Ford Coppola,vd
2199,Platoon,1199,74,Drama,spinnies,Oliver Stone,sef
2200,River's Edge,1200,12,Crime,resmethrin,Tim Hunter,zef
2201,Shanghai Surprise,1201,62,Adventure,angledozer,Jim Goddard,zerf
2202,She's Gotta Have It,1202,21,Comedy,ethoxylate,Spike Lee, xrd
2203,Stand by Me,1203,92,Adventure,ursidae,Rob Reiner,gbc
2204,Star Trek IV: The Voyage Home,1204,51,Adventure,whippowill,Leonard Nimoy,vd
2205,The Clan of the Cave Bear,1205,11,Adventure,silurid,Michael Chapman,sef
2206,The Color of Money,1206,23,Drama,bardiche,Martin Scorsese,zef
2207,The Golden Child,1207,61,Action,logicists,Michael Ritchie,zerf
2208,The Texas Chainsaw Massacre 2,1208,12,Comedy,parroter,Tobe Hooper, xrd
2209,The Wraith,1209,69,Action,hell-rake,Mike Marvin,gbc
2210,Top Gun,1210,98,Action,triphylite,Tony Scott,vd
2211,Witchboard,1211,18,Horror,distancy,Kevin Tenney,sef
2212,3 Men and a Baby,1212,24,Comedy,spinnies,Leonard Nimoy,zef
2213,A Nightmare on Elm Street 3: Dream Warriors,1213,11,Action,resmethrin,Chuck Russell,zerf
2214,American Ninja 2: The Confrontation,1214,32,Action,angledozer,Sam Firstenberg, xrd
2215,Beverly Hills Cop II,1215,88,Action,ethoxylate,Tony Scott,gbc
2216,Creepshow 2,1216,45,Comedy,ursidae,Michael Gornick,vd
2217,Cry Freedom,1217,30,Biography,whippowill,Richard Attenborough,sef
2218,Evil Dead II,1218,3,Comedy,silurid,Sam Raimi,zef
2219,Fatal Attraction,1219,2,Drama,bardiche,Adrian Lyne,zerf
2220,From a Whisper to a Scream,1220,5,Action,logicists,Jeff Burr, xrd
2221,"Good Morning, Vietnam",1221,81,Biography,parroter,Barry Levinson,gbc
2222,Hellraiser,1222,44,Fantasy,hell-rake,Clive Barker,vd
2223,Hollywood Shuffle,1223,14,Comedy,triphylite,Robert Townsend,sef
2224,Ishtar,1224,81,Action,distancy,Elaine May,zef
2225,Jaws: The Revenge,1225,37,Adventure,spinnies,Joseph Sargent,zerf
2226,La Bamba,1226,77,Biography,resmethrin,Luis Valdez, xrd
2227,Malone,1227,84,Action,angledozer,Harley Cokeliss,gbc
2228,Maurice,1228,92,Drama,ethoxylate,James Ivory,vd
2229,Predator,1229,85,Action,ursidae,John McTiernan,sef
2230,Prison,1230,11,Crime,whippowill,Renny Harlin,zef
2231,Radio Days,1231,88,Comedy,silurid,Woody Allen,zerf
2232,Spaceballs,1232,89,Adventure,bardiche,Mel Brooks, xrd
2233,Superman IV: The Quest for Peace,1233,56,Action,logicists,Sidney J. Furie,gbc
2234,Teen Wolf Too,1234,78,Comedy,parroter,Christopher Leitch,vd
2235,The Barbarians,1235,56,Adventure,hell-rake,Ruggero Deodato,sef
2236,The Last Emperor,1236,67,Biography,triphylite,Bernardo Bertolucci,zef
2237,The Living Daylights,1237,95,Action,distancy,John Glen,zerf
2238,The Princess Bride,1238,47,Adventure,spinnies,Rob Reiner, xrd
2239,The Running Man,1239,4,Action,resmethrin,Paul Michael Glaser,gbc
2240,The Untouchables,1240,81,Crime,angledozer,Brian De Palma,vd
2241,Wall Street,1241,93,Crime,ethoxylate,Oliver Stone,sef
2242,A Nightmare on Elm Street 4: The Dream Master,1242,81,Fantasy,ursidae,Renny Harlin,zef
2243,Action Jackson,1243,14,Action,whippowill,Craig R. Baxley,zerf
2244,Akira,1244,93,Action,silurid,Katsuhiro Ã”tomo, xrd
2245,Beetlejuice,1245,95,Comedy,bardiche,Tim Burton,gbc
2246,Big,1246,43,Comedy,logicists,Penny Marshall,vd
2247,Bloodsport,1247,82,Action,parroter,Newt Arnold,sef
2248,"Bright Lights, Big City",1248,1,Drama,hell-rake,James Bridges,zef
2249,Child's Play,1249,37,Fantasy,triphylite,Tom Holland,zerf
2250,Crocodile Dundee II,1250,52,Action,distancy,John Cornell, xrd
2251,Dangerous Liaisons,1251,92,Drama,spinnies,Stephen Frears,gbc
2252,Die Hard,1252,43,Action,resmethrin,John McTiernan,vd
2253,Friday the 13th Part VII: The New Blood,1253,12,Horror,angledozer,John Carl Buechler,sef
2254,Halloween 4: The Return of Michael Myers,1254,14,Horror,ethoxylate,Dwight H. Little,zef
2255,Lady in White,1255,41,Fantasy,ursidae,Frank LaLoggia,zerf
2256,Midnight Run,1256,90,Action,whippowill,Martin Brest, xrd
2257,My Stepmother Is an Alien,1257,56,Comedy,silurid,Richard Benjamin,gbc
2258,Mystic Pizza,1258,37,Comedy,bardiche,Donald Petrie,vd
2259,Phantasm II,1259,41,Action,logicists,Don Coscarelli,sef
2260,Poltergeist III,1260,63,Horror,parroter,Gary Sherman,zef
2261,Rain Man,1261,32,Drama,hell-rake,Barry Levinson,zerf
2262,Rambo III,1262,7,Action,triphylite,Peter MacDonald, xrd
2263,School Daze,1263,46,Comedy,distancy,Spike Lee,gbc
2264,Scrooged,1264,29,Comedy,spinnies,Richard Donner,vd
2265,Talk Radio,1265,34,Drama,resmethrin,Oliver Stone,sef
2266,The Land Before Time,1266,39,Adventure,angledozer,Don Bluth,zef
2267,The Last Temptation of Christ,1267,65,Drama,ethoxylate,Martin Scorsese,zerf
2268,They Live,1268,28,Horror,ursidae,John Carpenter, xrd
2269,Twins,1269,82,Comedy,whippowill,Ivan Reitman,gbc
2270,Young Guns,1270,39,Action,silurid,Christopher Cain,vd
2271,A Nightmare on Elm Street 5: The Dream Child,1271,29,Fantasy,bardiche,Stephen Hopkins,sef
2272,Back to the Future Part II,1272,51,Adventure,logicists,Robert Zemeckis,zef
2273,Batman,1273,74,Action,parroter,Tim Burton,zerf
2274,Bill & Ted's Excellent Adventure,1274,32,Adventure,hell-rake,Stephen Herek, xrd
2275,Black Rain,1275,23,Action,triphylite,Ridley Scott,gbc
2276,Born on the Fourth of July,1276,97,Biography,distancy,Oliver Stone,vd
2277,Dead Poets Society,1277,6,Comedy,spinnies,Peter Weir,sef
2278,Do the Right Thing,1278,98,Drama,resmethrin,Spike Lee,zef
2279,Driving Miss Daisy,1279,64,Comedy,angledozer,Bruce Beresford,zerf
2280,Friday the 13th Part VIII: Jason Takes Manhattan,1280,43,Adventure,ethoxylate,Rob Hedden, xrd
2281,Glory,1281,56,Drama,ursidae,Edward Zwick,gbc
2282,Halloween 5,1282,37,Horror,whippowill,Dominique Othenin-Girard,vd
2283,Henry V,1283,54,Action,silurid,Kenneth Branagh,sef
2284,Indiana Jones and the Last Crusade,1284,60,Action,bardiche,Steven Spielberg,zef
2285,Licence to Kill,1285,70,Action,logicists,John Glen,zerf
2286,Major League,1286,86,Comedy,parroter,David S. Ward, xrd
2287,New York Stories,1287,49,Comedy,hell-rake,Woody Allen,gbc
2288,Pet Sematary,1288,74,Fantasy,triphylite,Mary Lambert,vd
2289,Road House,1289,19,Action,distancy,Rowdy Herrington,sef
2290,Roger & Me,1290,64,Documentary,spinnies,Michael Moore,zef
2291,Sea of Love,1291,82,Crime,resmethrin,Harold Becker,zerf
2292,"Sex, Lies, and Videotape",1292,4,Drama,angledozer,Steven Soderbergh, xrd
2293,Star Trek V: The Final Frontier,1293,33,Action,ethoxylate,William Shatner,gbc
2294,Tango & Cash,1294,12,Action,ursidae,Andrey Konchalovskiy,vd
2295,The Abyss,1295,77,Adventure,whippowill,James Cameron,sef
2296,The Blood of Heroes,1296,26,Action,silurid,David Webb Peoples,zef
2297,The Toxic Avenger Part II,1297,12,Action,bardiche,Michael Herz,zerf
2298,Troop Beverly Hills,1298,56,Adventure,logicists,Jeff Kanew, xrd
2299,UHF,1299,74,Comedy,parroter,Jay Levey,gbc
2300,Warlock,1300,12,Action,hell-rake,Steve Miner,vd
2301,We're No Angels,1301,62,Comedy,triphylite,Neil Jordan,sef
2302,When Harry Met Sally...,1302,21,Comedy,distancy,Rob Reiner,zef
2303,Arachnophobia,1303,92,Comedy,spinnies,Frank Marshall,zerf
2304,Back to the Future Part III,1304,51,Adventure,resmethrin,Robert Zemeckis, xrd
2305,Child's Play 2,1305,11,Fantasy,angledozer,John Lafia,gbc
2306,Dances with Wolves,1306,23,Adventure,ethoxylate,Kevin Costner,vd
2307,Days of Thunder,1307,61,Action,ursidae,Tony Scott,sef
2308,Dick Tracy,1308,12,Action,whippowill,Warren Beatty,zef
2309,Die Hard 2,1309,69,Action,silurid,Renny Harlin,zerf
2310,Edward Scissorhands,1310,98,Fantasy,bardiche,Tim Burton, xrd
2311,Flatliners,1311,18,Drama,logicists,Joel Schumacher,gbc
2312,Ghost,1312,24,Drama,parroter,Jerry Zucker,vd
2313,Goodfellas,1313,11,Biography,hell-rake,Martin Scorsese,sef
2314,Gremlins 2: The New Batch,1314,32,Comedy,triphylite,Joe Dante,zef
2315,Home Alone,1315,88,Comedy,distancy,Chris Columbus,zerf
2316,Kindergarten Cop,1316,45,Action,spinnies,Ivan Reitman, xrd
2317,Marilyn Hotchkiss' Ballroom Dancing and Charm School,1317,30,Comedy,resmethrin,Randall Miller,gbc
2318,Metropolitan,1318,3,Comedy,angledozer,Whit Stillman,vd
2319,Mo' Better Blues,1319,2,Drama,ethoxylate,Spike Lee,sef
2320,Predator 2,1320,5,Action,ursidae,Stephen Hopkins,zef
2321,Pretty Woman,1321,81,Comedy,whippowill,Garry Marshall,zerf
2322,Quigley Down Under,1322,44,Action,silurid,Simon Wincer, xrd
2323,Spaced Invaders,1323,14,Adventure,bardiche,Patrick Read Johnson,gbc
2324,The Adventures of Ford Fairlane,1324,81,Action,logicists,Renny Harlin,vd
2325,The Godfather: Part III,1325,37,Crime,parroter,Francis Ford Coppola,sef
2326,The Hunt for Red October,1326,77,Action,hell-rake,John McTiernan,zef
2327,Total Recall,1327,84,Action,triphylite,Paul Verhoeven,zerf
2328,Tremors,1328,92,Comedy,distancy,Ron Underwood, xrd
2329,Two Evil Eyes,1329,85,Horror,spinnies,Dario Argento,gbc
2330,Beastmaster 2: Through the Portal of Time,1330,11,Action,resmethrin,Sylvio Tabet,vd
2331,Bill & Ted's Bogus Journey,1331,88,Adventure,angledozer,Peter Hewitt,sef
2332,Boyz n the Hood,1332,89,Crime,ethoxylate,John Singleton,zef
2333,Cape Fear,1333,56,Crime,ursidae,Martin Scorsese,zerf
2334,Double Impact,1334,78,Action,whippowill,Sheldon Lettich, xrd
2335,Flight of the Intruder,1335,56,Action,silurid,John Milius,gbc
2336,Freddy's Dead: The Final Nightmare,1336,67,Comedy,bardiche,Rachel Talalay,vd
2337,Harley Davidson and the Marlboro Man,1337,95,Action,logicists,Simon Wincer,sef
2338,Hook,1338,47,Adventure,parroter,Steven Spielberg,zef
2339,House Party 2,1339,4,Comedy,hell-rake,George Jackson,zerf
2340,Hudson Hawk,1340,81,Action,triphylite,Michael Lehmann, xrd
2341,JFK,1341,93,Drama,distancy,Oliver Stone,gbc
2342,My Girl,1342,81,Comedy,spinnies,Howard Zieff,vd
2343,My Own Private Idaho,1343,14,Drama,resmethrin,Gus Van Sant,sef
2344,Return to the Blue Lagoon,1344,93,Adventure,angledozer,William A. Graham,zef
2345,Robin Hood: Prince of Thieves,1345,95,Action,ethoxylate,Kevin Reynolds,zerf
2346,Showdown in Little Tokyo,1346,43,Action,ursidae,Mark L. Lester, xrd
2347,Slacker,1347,82,Comedy,whippowill,Richard Linklater,gbc
2348,Star Trek VI: The Undiscovered Country,1348,1,Action,silurid,Nicholas Meyer,vd
2349,Stone Cold,1349,37,Action,bardiche,Craig R. Baxley,sef
2350,Straight Out of Brooklyn,1350,52,Crime,logicists,Matty Rich,zef
2351,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1351,92,Action,parroter,Michael Pressman,zerf
2352,Terminator 2: Judgment Day,1352,43,Action,hell-rake,James Cameron, xrd
2353,The Addams Family,1353,12,Comedy,triphylite,Barry Sonnenfeld,gbc
2354,The Doors,1354,14,Biography,distancy,Oliver Stone,vd
2355,The Fisher King,1355,41,Comedy,spinnies,Terry Gilliam,sef
2356,The Naked Gun 2Â?: The Smell of Fear,1356,90,Comedy,resmethrin,David Zucker,zef
2357,The Prince of Tides,1357,56,Drama,angledozer,Barbra Streisand,zerf
2358,The Silence of the Lambs,1358,37,Crime,ethoxylate,Jonathan Demme, xrd
2359,White Fang,1359,41,Adventure,ursidae,Randal Kleiser,gbc
2360,A Few Good Men,1360,63,Drama,whippowill,Rob Reiner,vd
2361,A League of Their Own,1361,32,Comedy,silurid,Penny Marshall,sef
2362,Aladdin,1362,7,Adventure,bardiche,Ron Clements,zef
2363,Alien 3,1363,46,Action,logicists,David Fincher,zerf
2364,Army of Darkness,1364,29,Comedy,parroter,Sam Raimi, xrd
2365,Batman Returns,1365,34,Action,hell-rake,Tim Burton,gbc
