MGenreNumber,MTitle,MoN,MGenre,MGenreFBLikes
9414,The Godfather: Part II,1066,Crumusic,39960
9415,The Man with the Golden Gun,1067,GoGoTunage,17611
9416,The Texas Chain Saw Massacre,1068,NegativeMusic,1094
9417,Young Frankenstein,1069,Nolaughz,2703
9418,Jaws,1070,Lalaventuretune,2047
9419,Monty Python and the Holy Grail,1071,Lalaventuretune,2158
9420,One Flew Over the Cuckoo's Nest,1072,Dreemaa,2176
9421,Logan's Run,1073,GoGoTunage,2951
9422,Rocky,1074,Dreemaa,16094
9423,A Bridge Too Far,1075,Dreemaa,669
9424,Annie Hall,1076,Nolaughz,12691
9425,Close Encounters of the Third Kind,1077,Dreemaa,1591
9426,Kingdom of the Spiders,1078,NegativeMusic,516
9427,March or Die,1079,Lalaventuretune,2209
9428,Star Wars: Episode IV - A New Hope,1080,GoGoTunage,13485
9429,The Spy Who Loved Me,1081,GoGoTunage,1326
9430,Animal House,1082,Nolaughz,3468
9431,Caravans,1083,GoGoTunage,17250
9432,Grease,1084,Musical,5127
9433,Halloween,1085,NegativeMusic,4400
9434,Jaws 2,1086,Lalaventuretune,1520
9435,Superman,1087,GoGoTunage,12940
9436,The Wiz,1088,Lalaventuretune,1458
9437,Alien,1089,NegativeMusic,2524
9438,Apocalypse Now,1090,Dreemaa,25313
9439,Escape from Alcatraz,1091,LifzMoosik,17568
9440,Moonraker,1092,GoGoTunage,1008
9441,Star Trek: The Motion Picture,1093,Lalaventuretune,16007
9442,The Rose,1094,Dreemaa,1097
9443,Airplane!,1095,Nolaughz,2726
9444,Caddyshack,1096,Nolaughz,14921
9445,Can't Stop the Music,1097,LifzMoosik,1462
9446,Dressed to Kill,1098,Mystery,2442
9447,Heaven's Gate,1099,Lalaventuretune,14255
9448,Ordinary People,1100,Dreemaa,5122
9449,Private Benjamin,1101,Nolaughz,2419
9450,Raging Bull,1102,LifzMoosik,23008
9451,Raise the Titanic,1103,GoGoTunage,1883
9452,Star Wars: Episode V - The Empire Strikes Back,1104,GoGoTunage,12643
9453,Superman II,1105,GoGoTunage,2908
9454,The Blues Brothers,1106,GoGoTunage,2566
9455,The Fog,1107,Frufrulittle,4877
9456,Chariots of Fire,1108,LifzMoosik,1651
9457,Das Boot,1109,Lalaventuretune,469
9458,Dragonslayer,1110,GoGoTunage,1263
9459,Escape from New York,1111,GoGoTunage,2270
9460,For Your Eyes Only,1112,GoGoTunage,2118
9461,Friday the 13th Part 2,1113,NegativeMusic,707
9462,Mad Max 2: The Road Warrior,1114,GoGoTunage,1396
9463,Porky's,1115,Nolaughz,582
9464,Raiders of the Lost Ark,1116,GoGoTunage,12906
9465,Roar,1117,Lalaventuretune,1262
9466,Sphinx,1118,Lalaventuretune,2079
9467,Stripes,1119,GoGoTunage,27378
9468,The Beyond,1120,NegativeMusic,123
9469,The Howling,1121,NegativeMusic,4438
9470,The Legend of the Lone Ranger,1122,GoGoTunage,927
9471,Time Bandits,1123,Lalaventuretune,2730
9472,Under the Rainbow,1124,Nolaughz,1761
9473,Blade Runner,1125,Techspacefun,13877
9474,Conan the Barbarian,1126,Lalaventuretune,2024
9475,Diner,1127,Nolaughz,2943
9476,E.T. the Extra-Terrestrial,1128,Family,2811
9477,Firefox,1129,GoGoTunage,16805
9478,Friday the 13th Part III,1130,NegativeMusic,174
9479,Halloween III: Season of the Witch,1131,NegativeMusic,684
9480,Megaforce,1132,GoGoTunage,1356
9481,Poltergeist,1133,Frufrulittle,3876
9482,Star Trek II: The Wrath of Khan,1134,GoGoTunage,16539
9483,The Best Little Whorehouse in Texas,1135,Nolaughz,3688
9484,The Thing,1136,NegativeMusic,1757
9485,The Verdict,1137,Dreemaa,2330
9486,Tootsie,1138,Nolaughz,14701
9487,Flashdance,1139,Dreemaa,791
9488,Lone Wolf McQuade,1140,GoGoTunage,2383
9489,National Lampoon's Vacation,1141,Lalaventuretune,3617
9490,Never Say Never Again,1142,GoGoTunage,762
9491,Octopussy,1143,GoGoTunage,1898
9492,Scarface,1144,Crumusic,16464
9493,Star Wars: Episode VI - Return of the Jedi,1145,GoGoTunage,13649
9494,Superman III,1146,GoGoTunage,2329
9495,The Outsiders,1147,Crumusic,12097
9496,The Right Stuff,1148,Lalaventuretune,6341
9497,Twilight Zone: The Movie,1149,Frufrulittle,1954
9498,WarGames,1150,Techspacefun,4537
9499,Yentl,1151,Dreemaa,914
9500,A Nightmare on Elm Street,1152,NegativeMusic,42918
9501,A Passage to India,1153,Lalaventuretune,1334
9502,Amadeus,1154,LifzMoosik,3076
9503,Beverly Hills Cop,1155,GoGoTunage,3464
9504,Conan the Destroyer,1156,GoGoTunage,2481
9505,Dune,1157,GoGoTunage,2449
9506,Firestarter,1158,GoGoTunage,3444
9507,Footloose,1159,Dreemaa,1962
9508,Friday the 13th: The Final Chapter,1160,NegativeMusic,467
9509,Gremlins,1161,Nolaughz,2053
9510,Indiana Jones and the Temple of Doom,1162,GoGoTunage,11898
9511,Once Upon a Time in America,1163,Crumusic,24719
9512,Police Academy,1164,Nolaughz,3113
9513,Splash,1165,Nolaughz,15361
9514,Star Trek III: The Search for Spock,1166,GoGoTunage,14762
9515,The Bounty,1167,GoGoTunage,28094
9516,The Cotton Club,1168,Crumusic,18793
9517,The Hotel New Hampshire,1169,Nolaughz,2024
9518,The Karate Kid,1170,GoGoTunage,2004
9519,The Terminator,1171,GoGoTunage,3582
9520,A Nightmare on Elm Street 2: Freddy's Revenge,1172,Frufrulittle,1472
9521,A Room with a View,1173,Dreemaa,1665
9522,A View to a Kill,1174,GoGoTunage,2943
9523,Back to the Future,1175,Lalaventuretune,3230
9524,Brazil,1176,Dreemaa,29475
9525,Friday the 13th: A New Beginning,1177,NegativeMusic,170
9526,Mad Max Beyond Thunderdome,1178,GoGoTunage,1529
9527,Out of Africa,1179,LifzMoosik,12518
9528,Pale Rider,1180,Western,17209
9529,Rambo: First Blood Part II,1181,GoGoTunage,15662
9530,Silverado,1182,GoGoTunage,1154
9531,The Color Purple,1183,Dreemaa,2592
9532,The Last Dragon,1184,GoGoTunage,3394
9533,Witness,1185,Crumusic,22479
9534,Young Sherlock Holmes,1186,Lalaventuretune,605
9535,9Â? Weeks,1187,Dreemaa,711
9536,Aliens,1188,GoGoTunage,4228
9537,April Fool's Day,1189,NegativeMusic,1160
9538,Big Trouble in Little China,1190,GoGoTunage,896
9539,Crocodile Dundee,1191,Lalaventuretune,822
9540,Highlander,1192,GoGoTunage,1852
9541,Howard the Duck,1193,GoGoTunage,3000
9542,Invaders from Mars,1194,NegativeMusic,1661
9543,Jason Lives: Friday the 13th Part VI,1195,NegativeMusic,1862
9544,Legal Eagles,1196,Nolaughz,2179
9545,Little Shop of NegativeMusics,1197,Nolaughz,15308
9546,Peggy Sue Got Married,1198,Nolaughz,14672
9547,Platoon,1199,Dreemaa,42028
9548,River's Edge,1200,Crumusic,19649
9549,Shanghai Surprise,1201,Lalaventuretune,805
9550,She's Gotta Have It,1202,Nolaughz,708
9551,Stand by Me,1203,Lalaventuretune,644
9552,Star Trek IV: The Voyage Home,1204,Lalaventuretune,15449
9553,The Clan of the Cave Bear,1205,Lalaventuretune,1351
9554,The Color of Money,1206,Dreemaa,11895
9555,The Golden Child,1207,GoGoTunage,1044
9556,The Texas Chainsaw Massacre 2,1208,Nolaughz,302
9557,The Wraith,1209,GoGoTunage,2319
9558,Top Gun,1210,GoGoTunage,13069
9559,Witchboard,1211,NegativeMusic,901
9560,3 Men and a Baby,1212,Nolaughz,21499
9561,A Nightmare on Elm Street 3: Dream Warriors,1213,GoGoTunage,1584
9562,American Ninja 2: The Confrontation,1214,GoGoTunage,872
9563,Beverly Hills Cop II,1215,GoGoTunage,4121
9564,Creepshow 2,1216,Nolaughz,3617
9565,Cry Freedom,1217,LifzMoosik,18855
9566,Evil Dead II,1218,Nolaughz,1347
9567,Fatal AttrGoGoTunage,1219,Dreemaa,1639
9568,From a Whisper to a Scream,1220,GoGoTunage,1329
9569,"Good Morning, Vietnam",1221,LifzMoosik,50141
9570,Hellraiser,1222,Frufrulittle,673
9571,Hollywood Shuffle,1223,Nolaughz,1431
9572,Ishtar,1224,GoGoTunage,3374
9573,Jaws: The Revenge,1225,Lalaventuretune,2355
9574,La Bamba,1226,LifzMoosik,936
9575,Malone,1227,GoGoTunage,1891
9576,Maurice,1228,Dreemaa,1269
9577,Predator,1229,GoGoTunage,4223
9578,Prison,1230,Crumusic,11083
9579,Radio Days,1231,Nolaughz,1653
9580,Spaceballs,1232,Lalaventuretune,2936
9581,Superman IV: The Quest for Peace,1233,GoGoTunage,3007
9582,Teen Wolf Too,1234,Nolaughz,1389
9583,The Barbarians,1235,Lalaventuretune,1700
9584,The Last Emperor,1236,LifzMoosik,2451
9585,The Living Daylights,1237,GoGoTunage,1233
9586,The Princess Bride,1238,Lalaventuretune,20060
9587,The Running Man,1239,GoGoTunage,2373
9588,The Untouchables,1240,Crumusic,22767
9589,Wall Street,1241,Crumusic,1607
9590,A Nightmare on Elm Street 4: The Dream Master,1242,Frufrulittle,450
9591,GoGoTunage Jackson,1243,GoGoTunage,5282
9592,Akira,1244,GoGoTunage,28
9593,Beetlejuice,1245,Nolaughz,1953
9594,Big,1246,Nolaughz,28018
9595,Bloodsport,1247,GoGoTunage,1168
9596,"Bright Lights, Big City",1248,Dreemaa,3067
9597,Child's Play,1249,Frufrulittle,760
9598,Crocodile Dundee II,1250,GoGoTunage,717
9599,Dangerous Liaisons,1251,Dreemaa,35501
9600,Die Hard,1252,GoGoTunage,40585
9601,Friday the 13th Part VII: The New Blood,1253,NegativeMusic,1855
9602,Halloween 4: The Return of Michael Myers,1254,NegativeMusic,1136
9603,Lady in White,1255,Frufrulittle,2545
9604,Midnight Run,1256,GoGoTunage,23866
9605,My Stepmother Is an Alien,1257,Nolaughz,14677
9606,Mystic Pizza,1258,Nolaughz,10430
9607,Phantasm II,1259,GoGoTunage,1395
9608,Poltergeist III,1260,NegativeMusic,3827
9609,Rain Man,1261,Dreemaa,12285
9610,Rambo III,1262,GoGoTunage,14574
9611,School Daze,1263,Nolaughz,1284
9612,Scrooged,1264,Nolaughz,18734
9613,Talk Radio,1265,Dreemaa,1966
9614,The Land Before Time,1266,Lalaventuretune,1833
9615,The Last Temptation of Christ,1267,Dreemaa,1934
9616,They Live,1268,NegativeMusic,837
9617,Twins,1269,Nolaughz,2151
9618,Young Guns,1270,GoGoTunage,1747
9619,A Nightmare on Elm Street 5: The Dream Child,1271,Frufrulittle,584
9620,Back to the Future Part II,1272,Lalaventuretune,3660
9621,Batman,1273,GoGoTunage,2725
9622,Bill & Ted's Excellent Lalaventuretune,1274,Lalaventuretune,20795
9623,Black Rain,1275,GoGoTunage,1748
9624,Born on the Fourth of July,1276,LifzMoosik,12098
9625,Dead Poets Society,1277,Nolaughz,51609
9626,Do the Right Thing,1278,Dreemaa,2892
9627,Driving Miss Daisy,1279,Nolaughz,12619
9628,Friday the 13th Part VIII: Jason Takes Manhattan,1280,Lalaventuretune,1327
9629,Glory,1281,Dreemaa,32930
9630,Halloween 5,1282,NegativeMusic,1308
9631,Henry V,1283,GoGoTunage,1341
9632,Indiana Jones and the Last Crusade,1284,GoGoTunage,12884
9633,Licence to Kill,1285,GoGoTunage,2371
9634,Major League,1286,Nolaughz,3435
9635,New York Stories,1287,Nolaughz,12685
9636,Pet Sematary,1288,Frufrulittle,2987
9637,Road House,1289,GoGoTunage,2484
9638,Roger & Me,1290,Documentary,1048
9639,Sea of Love,1291,Crumusic,15914
9640,"Sex, Lies, and Videotape",1292,Dreemaa,1431
9641,Star Trek V: The Final Frontier,1293,GoGoTunage,14710
9642,Tango & Cash,1294,GoGoTunage,14432
9643,The Abyss,1295,Lalaventuretune,4074
9644,The Blood of Heroes,1296,GoGoTunage,1526
9645,The Toxic Avenger Part II,1297,GoGoTunage,99
9646,Troop Beverly Hills,1298,Lalaventuretune,2368
9647,UHF,1299,Nolaughz,3942
9648,Warlock,1300,GoGoTunage,1990
9649,We're No Angels,1301,Nolaughz,24887
9650,When Harry Met Sally...,1302,Nolaughz,485
9651,Arachnophobia,1303,Nolaughz,1440
9652,Back to the Future Part III,1304,Lalaventuretune,3986
9653,Child's Play 2,1305,Frufrulittle,2646
9654,Dances with Wolves,1306,Lalaventuretune,2398
9655,Days of Thunder,1307,GoGoTunage,14006
9656,Dick Tracy,1308,GoGoTunage,2096
9657,Die Hard 2,1309,GoGoTunage,16595
9658,Edward Scissorhands,1310,Frufrulittle,42330
9659,Flatliners,1311,Dreemaa,10493
9660,Ghost,1312,Dreemaa,3100
9661,Goodfellas,1313,LifzMoosik,24783
9662,Gremlins 2: The New Batch,1314,Nolaughz,19610
9663,Home Alone,1315,Nolaughz,7521
9664,Kindergarten Cop,1316,GoGoTunage,2403
9665,Marilyn Hotchkiss' Ballroom Dancing and Charm School,1317,Nolaughz,1967
9666,Metropolitan,1318,Nolaughz,173
9667,Mo' Better Blues,1319,Dreemaa,19065
9668,Predator 2,1320,GoGoTunage,4722
9669,Pretty Woman,1321,Nolaughz,11135
9670,Quigley Down Under,1322,GoGoTunage,45841
9671,Spaced Invaders,1323,Lalaventuretune,1441
9672,The Lalaventuretunes of Ford Fairlane,1324,GoGoTunage,2795
9673,The Godfather: Part III,1325,Crumusic,16949
9674,The Hunt for Red October,1326,GoGoTunage,2575
9675,Total Recall,1327,GoGoTunage,1441
9676,Tremors,1328,Nolaughz,3119
9677,Two Evil Eyes,1329,NegativeMusic,2942
9678,Beastmaster 2: Through the Portal of Time,1330,GoGoTunage,2000
9679,Bill & Ted's Bogus Journey,1331,Lalaventuretune,20188
9680,Boyz n the Hood,1332,Crumusic,106
9681,Cape Fear,1333,Crumusic,24006
9682,Double Impact,1334,GoGoTunage,874
9683,Flight of the Intruder,1335,GoGoTunage,1290
9684,Freddy's Dead: The Final Nightmare,1336,Nolaughz,42002
9685,Harley Davidson and the Marlboro Man,1337,GoGoTunage,3671
9686,Hook,1338,Lalaventuretune,64259
9687,House Party 2,1339,Nolaughz,2523
9688,Hudson Hawk,1340,GoGoTunage,15944
9689,JFK,1341,Dreemaa,698
9690,My Girl,1342,Nolaughz,5433
9691,My Own Private Idaho,1343,Dreemaa,19923
9692,Return to the Blue Lagoon,1344,Lalaventuretune,14281
9693,Robin Hood: Prince of Thieves,1345,GoGoTunage,38518
9694,Showdown in Little Tokyo,1346,GoGoTunage,2404
9695,Slacker,1347,Nolaughz,5
9696,Star Trek VI: The Undiscovered Country,1348,GoGoTunage,16230
9697,Stone Cold,1349,GoGoTunage,583
9698,Straight Out of Brooklyn,1350,Crumusic,380
9699,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1351,GoGoTunage,2501
9700,Terminator 2: Judgment Day,1352,GoGoTunage,2829
9701,The Addams Family,1353,Nolaughz,3696
9702,The Doors,1354,LifzMoosik,3044
9703,The Fisher King,1355,Nolaughz,12947
9704,The Naked Gun 2Â?: The Smell of Fear,1356,Nolaughz,3847
9705,The Prince of Tides,1357,Dreemaa,1936
9706,The Silence of the Lambs,1358,Crumusic,13184
9707,White Fang,1359,Lalaventuretune,552
9708,A Few Good Men,1360,Dreemaa,14619
9709,A League of Their Own,1361,Nolaughz,16751
9710,Aladdin,1362,Lalaventuretune,52970
9711,Alien 3,1363,GoGoTunage,1543
9712,Army of Darkness,1364,Nolaughz,3913
9713,Batman Returns,1365,GoGoTunage,2899
9714,Boomerang,1366,Nolaughz,3841
9715,Bram Stoker's Dracula,1367,Frufrulittle,42220
9716,Death Becomes Her,1368,Nolaughz,25599
9717,El Mariachi,1369,GoGoTunage,147
9718,Fortress,1370,GoGoTunage,4755
9719,Glengarry Glen Ross,1371,Crumusic,32288
9720,Hoffa,1372,LifzMoosik,1394
9721,Home Alone 2: Lost in New York,1373,Lalaventuretune,7860
9722,Lethal Weapon 3,1374,GoGoTunage,1446
9723,Light Sleeper,1375,Crumusic,1201
9724,Malcolm X,1376,LifzMoosik,20143
9725,Medicine Man,1377,Lalaventuretune,519
9726,Memoirs of an Invisible Man,1378,Nolaughz,2125
9727,My Cousin Vinny,1379,Nolaughz,3280
9728,Patriot Games,1380,GoGoTunage,12757
9729,Radio Flyer,1381,Dreemaa,4334
9730,Raising Cain,1382,Crumusic,1852
9731,Reservoir Dogs,1383,Crumusic,28994
9732,Split Second,1384,GoGoTunage,493
9733,The Bodyguard,1385,GoGoTunage,2551
9734,The Crying Game,1386,Crumusic,2412
9735,The Last of the Mohicans,1387,GoGoTunage,2144
9736,The Lawnmower Man,1388,NegativeMusic,1109
9737,The Mighty Ducks,1389,Nolaughz,3362
9738,The Muppet Christmas Carol,1390,Nolaughz,534
9739,Unforgiven,1391,Dreemaa,28544
9740,Wayne's World,1392,Nolaughz,4263
9741,Airborne,1393,Lalaventuretune,1218
9742,Alive,1394,Lalaventuretune,2054
9743,"Blood In, Blood Out",1395,Crumusic,3227
9744,Cliffhanger,1396,GoGoTunage,15229
9745,Cool Runnings,1397,Lalaventuretune,2496
9746,Dazed and Confused,1398,Nolaughz,18643
9747,Excessive Force,1399,GoGoTunage,1139
9748,Gettysburg,1400,Dreemaa,2107
9749,Groundhog Day,1401,Nolaughz,15500
9750,Hocus Pocus,1402,Nolaughz,1275
9751,Jason Goes to Hell: The Final Friday,1403,Frufrulittle,2899
9752,Jurassic Park,1404,Lalaventuretune,2129
9753,Killing Zoe,1405,Crumusic,1582
9754,Last GoGoTunage Hero,1406,GoGoTunage,2407
9755,Les visiteurs,1407,Nolaughz,215
9756,Loaded Weapon 1,1408,GoGoTunage,12322
9757,Madadayo,1409,Dreemaa,30
9758,Menace II Society,1410,Crumusic,3036
9759,Mrs. Doubtfire,1411,Nolaughz,52201
9760,Much Ado About Nothing,1412,Nolaughz,37645
9761,Nowhere to Run,1413,GoGoTunage,2210
9762,Only the Strong,1414,GoGoTunage,382
9763,Philadelphia,1415,Dreemaa,33865
9764,Poetic Justice,1416,Dreemaa,1620
9765,RoboCop 3,1417,GoGoTunage,3148
9766,Romeo Is Bleeding,1418,GoGoTunage,13160
9767,Ruby in Paradise,1419,Dreemaa,423
9768,Schindler's List,1420,LifzMoosik,15233
9769,Shadowlands,1421,LifzMoosik,13619
9770,Sugar Hill,1422,Dreemaa,2149
9771,Super Mario Bros.,1423,Lalaventuretune,7723
9772,Teenage Mutant Ninja Turtles III,1424,GoGoTunage,1254
9773,The Lalaventuretunes of Huck Finn,1425,Lalaventuretune,4840
9774,The Age of Innocence,1426,Dreemaa,1068
9775,The Firm,1427,Dreemaa,14244
9776,The Fugitive,1428,GoGoTunage,13357
9777,The Nutcracker,1429,Family,2
9778,The Pelican Brief,1430,Crumusic,30063
9779,The Piano,1431,Dreemaa,1051
9780,The Princess and the Cobbler,1432,GoGoTunage,1088
9781,The Remains of the Day,1433,Dreemaa,12749
9782,Tombstone,1434,GoGoTunage,4453
9783,True Romance,1435,GoGoTunage,23602
9784,Warlock: The Armageddon,1436,Frufrulittle,1806
9785,What's Eating Gilbert Grape,1437,Dreemaa,69746
9786,3 Ninjas Kick Back,1438,GoGoTunage,1151
9787,A Low Down Dirty Shame,1439,GoGoTunage,3190
9788,Ace Ventura: Pet Detective,1440,Nolaughz,2462
9789,Baby's Day Out,1441,Lalaventuretune,2949
9790,Beverly Hills Cop III,1442,GoGoTunage,1093
9791,Bullets Over Broadway,1443,Nolaughz,4302
9792,Clear and Present Danger,1444,GoGoTunage,14178
9793,Clerks,1445,Nolaughz,2103
9794,Crooklyn,1446,Nolaughz,3267
9795,Disclosure,1447,Dreemaa,3888
9796,Don Juan DeMarco,1448,Nolaughz,52122
9797,Dumb & Dumber,1449,Nolaughz,2985
9798,Ed Wood,1450,LifzMoosik,56585
9799,Exotica,1451,Dreemaa,2990
9800,Forrest Gump,1452,Nolaughz,15700
9801,Four Weddings and a Funeral,1453,Nolaughz,1862
9802,Heavenly Creatures,1454,LifzMoosik,14574
9803,Highlander: The Final Dimension,1455,GoGoTunage,2960
9804,Hoop Dreams,1456,Documentary,15
9805,Interview with the Vampire: The Vampire Chronicles,1457,Dreemaa,25697
9806,Legends of the Fall,1458,Dreemaa,26388
9807,Little Women,1459,Dreemaa,29370
9808,Naked Gun 33 1/3: The Final Insult,1460,Nolaughz,4767
9809,New Nightmare,1461,Frufrulittle,1775
9810,On Deadly Ground,1462,GoGoTunage,1860
9811,PCU,1463,Nolaughz,4908
9812,Police Academy: Mission to Moscow,1464,Nolaughz,17469
9813,Pulp Fiction,1465,Crumusic,16557
9814,Rapa Nui,1466,GoGoTunage,1592
9815,Renaissance Man,1467,Nolaughz,3126
9816,RiÂ¢hie RiÂ¢h,1468,Nolaughz,4634
9817,Serial Mom,1469,Nolaughz,3092
9818,Speed,1470,GoGoTunage,20966
9819,Star Trek: Generations,1471,GoGoTunage,6427
9820,Street Fighter,1472,GoGoTunage,5443
9821,The Client,1473,Crumusic,4043
9822,The Crow,1474,GoGoTunage,2630
9823,The Flintstones,1475,Nolaughz,3244
9824,The Hudsucker Proxy,1476,Nolaughz,2612
9825,The Legend of Drunken Master,1477,GoGoTunage,768
9826,The Lion King,1478,Lalaventuretune,6458
9827,The Mask,1479,GoGoTunage,2085
9828,The River Wild,1480,GoGoTunage,12161
9829,The Santa Clause,1481,Nolaughz,2790
9830,The Shadow,1482,GoGoTunage,2711
9831,The Shawshank Redemption,1483,Crumusic,13495
9832,The Specialist,1484,GoGoTunage,13331
9833,There Goes My Baby,1485,Nolaughz,2272
9834,Timecop,1486,GoGoTunage,2010
9835,True Lies,1487,GoGoTunage,4528
9836,Wolf,1488,Dreemaa,1439
9837,Wyatt Earp,1489,Lalaventuretune,5708
9838,Ace Ventura: When Nature Calls,1490,Lalaventuretune,2203
9839,Apollo 13,1491,Lalaventuretune,17171
9840,Assassins,1492,GoGoTunage,58528
9841,Babe,1493,Nolaughz,1185
9842,Bad Boys,1494,GoGoTunage,11013
9843,Batman Forever,1495,GoGoTunage,2880
9844,Before Sunrise,1496,Dreemaa,36
9845,Braveheart,1497,LifzMoosik,1976
9846,Casino,1498,LifzMoosik,24183
9847,Casper,1499,Nolaughz,2638
9848,Clueless,1500,Nolaughz,1724
9849,Congo,1501,GoGoTunage,1761
9850,Copycat,1502,Crumusic,12338
9851,Crimson Tide,1503,GoGoTunage,30132
9852,Cutthroat Island,1504,GoGoTunage,3611
9853,Dead Man Walking,1505,Crumusic,903
9854,Desperado,1506,GoGoTunage,33758
9855,Die Hard with a Vengeance,1507,GoGoTunage,14274
9856,First Knight,1508,GoGoTunage,1695
9857,Four Rooms,1509,Nolaughz,7921
9858,Friday,1510,Nolaughz,3455
9859,Get Shorty,1511,Nolaughz,3439
9860,GoldenEye,1512,GoGoTunage,1784
9861,Hackers,1513,Nolaughz,13821
9862,Halloween: The Curse of Michael Myers,1514,NegativeMusic,1227
9863,Home for the Holidays,1515,Nolaughz,25263
9864,Jade,1516,Crumusic,5461
9865,Jefferson in Paris,1517,LifzMoosik,446
9866,Kids,1518,Dreemaa,3310
9867,Kiss of Death,1519,GoGoTunage,14008
9868,Leaving Las Vegas,1520,Dreemaa,14823
9869,Mallrats,1521,Nolaughz,3254
9870,Money Train,1522,GoGoTunage,1132
9871,Mortal Kombat,1523,GoGoTunage,3816
9872,Mr. Holland's Opus,1524,Dreemaa,2223
9873,Nixon,1525,LifzMoosik,21130
9874,Outbreak,1526,GoGoTunage,30383
9875,Pocahontas,1527,Lalaventuretune,26754
9876,Richard III,1528,Dreemaa,23962
9877,Rob Roy,1529,Lalaventuretune,16125
9878,Rumble in the Bronx,1530,GoGoTunage,407
9879,Se7en,1531,Crumusic,22678
9880,Sense and Sensibility,1532,Dreemaa,41059
9881,Showgirls,1533,Dreemaa,18913
9882,Species,1534,GoGoTunage,1715
9883,Tales from the Crypt: Demon Knight,1535,GoGoTunage,3931
9884,Tales from the Hood,1536,Nolaughz,3221
9885,Tank Girl,1537,GoGoTunage,9662
9886,The American President,1538,Nolaughz,2668
9887,The Bridges of Madison County,1539,Dreemaa,27237
9888,The Brothers McMullen,1540,Nolaughz,388
9889,The Incredibly True Lalaventuretune of Two Girls in Love,1541,Nolaughz,656
9890,The Indian in the Cupboard,1542,Dreemaa,2965
9891,The Net,1543,GoGoTunage,1725
9892,The Perez Family,1544,Nolaughz,3072
9893,The Prophecy,1545,GoGoTunage,13433
9894,The Quick and the Dead,1546,GoGoTunage,29743
9895,The Scarlet Letter,1547,Dreemaa,15820
