MovieNumber,Title,Myrating,Genre,MyGenre,Director Name
1037,Doctor Zhivago,95,Drama,bardiche,David Lean
1038,Major Dundee,47,Adventure,logicists,Sam Peckinpah
1039,The Greatest Story Ever Told,4,Biography,parroter,George Stevens
1040,The Sound of Music,81,Biography,hell-rake,Robert Wise
1041,Thunderball,93,Action,triphylite,Terence Young
1042,"The Good, the Bad and the Ugly",81,Western,distancy,Sergio Leone
1043,You Only Live Twice,14,Action,spinnies,Lewis Gilbert
1044,2001: A Space Odyssey,93,Adventure,resmethrin,Stanley Kubrick
1045,Oliver!,95,Drama,angledozer,Carol Reed
1046,Butch Cassidy and the Sundance Kid,43,Biography,ethoxylate,George Roy Hill
1047,Mississippi Mermaid,82,Crime,ursidae,FranÃ§ois Truffaut
1048,On Her Majesty's Secret Service,1,Action,whippowill,Peter R. Hunt
1049,Beyond the Valley of the Dolls,37,Comedy,silurid,Russ Meyer
1050,Darling Lili,52,Comedy,bardiche,Blake Edwards
1051,Tora! Tora! Tora!,92,Action,logicists,Richard Fleischer
1052,Woodstock,43,Documentary,parroter,Michael Wadleigh
1053,Diamonds Are Forever,12,Action,hell-rake,Guy Hamilton
1054,Fiddler on the Roof,14,Drama,triphylite,Norman Jewison
1055,Pink Narcissus,41,Drama,distancy,James Bidgood
1056,Sweet Sweetback's Baadasssss Song,90,Crime,spinnies,Melvin Van Peebles
1057,Pink Flamingos,56,Comedy,resmethrin,John Waters
1058,The Godfather,37,Crime,angledozer,Francis Ford Coppola
1059,American Graffiti,41,Comedy,ethoxylate,George Lucas
1060,Live and Let Die,63,Action,ursidae,Guy Hamilton
1061,Mean Streets,32,Crime,whippowill,Martin Scorsese
1062,The Exorcist,7,Horror,silurid,William Friedkin
1063,The Sting,46,Comedy,bardiche,George Roy Hill
1064,Benji,29,Adventure,logicists,Joe Camp
1065,Blazing Saddles,34,Comedy,parroter,Mel Brooks
1066,The Godfather: Part II,39,Crime,hell-rake,Francis Ford Coppola
1067,The Man with the Golden Gun,65,Action,triphylite,Guy Hamilton
1068,The Texas Chain Saw Massacre,28,Horror,distancy,Tobe Hooper
1069,Young Frankenstein,82,Comedy,spinnies,Mel Brooks
1070,Jaws,39,Adventure,resmethrin,Steven Spielberg
1071,Monty Python and the Holy Grail,29,Adventure,angledozer,Terry Gilliam
1072,One Flew Over the Cuckoo's Nest,51,Drama,ethoxylate,Milos Forman
1073,Logan's Run,74,Action,ursidae,Michael Anderson
1074,Rocky,32,Drama,whippowill,John G. Avildsen
1075,A Bridge Too Far,23,Drama,silurid,Richard Attenborough
1076,Annie Hall,97,Comedy,bardiche,Woody Allen
1077,Close Encounters of the Third Kind,6,Drama,logicists,Steven Spielberg
1078,Kingdom of the Spiders,98,Horror,parroter,John 'Bud' Cardos
1079,March or Die,64,Adventure,hell-rake,Dick Richards
1080,Star Wars: Episode IV - A New Hope,43,Action,triphylite,George Lucas
1081,The Spy Who Loved Me,56,Action,distancy,Lewis Gilbert
1082,Animal House,37,Comedy,spinnies,John Landis
1083,Caravans,54,Action,resmethrin,James Fargo
1084,Grease,60,Musical,angledozer,Randal Kleiser
1085,Halloween,70,Horror,ethoxylate,John Carpenter
1086,Jaws 2,86,Adventure,ursidae,Jeannot Szwarc
1087,Superman,49,Action,whippowill,Richard Donner
1088,The Wiz,74,Adventure,silurid,Sidney Lumet
1089,Alien,19,Horror,bardiche,Ridley Scott
1090,Apocalypse Now,64,Drama,logicists,Francis Ford Coppola
1091,Escape from Alcatraz,82,Biography,parroter,Don Siegel
1092,Moonraker,4,Action,hell-rake,Lewis Gilbert
1093,Star Trek: The Motion Picture,33,Adventure,triphylite,Robert Wise
1094,The Rose,12,Drama,distancy,Mark Rydell
1095,Airplane!,77,Comedy,spinnies,Jim Abrahams
1096,Caddyshack,26,Comedy,resmethrin,Harold Ramis
1097,Can't Stop the Music,12,Biography,angledozer,Nancy Walker
1098,Dressed to Kill,56,Mystery,ethoxylate,Brian De Palma
1099,Heaven's Gate,74,Adventure,ursidae,Michael Cimino
1100,Ordinary People,12,Drama,whippowill,Robert Redford
1101,Private Benjamin,62,Comedy,silurid,Howard Zieff
1102,Raging Bull,21,Biography,bardiche,Martin Scorsese
1103,Raise the Titanic,92,Action,logicists,Jerry Jameson
1104,Star Wars: Episode V - The Empire Strikes Back,51,Action,parroter,Irvin Kershner
1105,Superman II,11,Action,hell-rake,Richard Lester
1106,The Blues Brothers,23,Action,triphylite,John Landis
1107,The Fog,61,Fantasy,distancy,John Carpenter
1108,Chariots of Fire,12,Biography,spinnies,Hugh Hudson
1109,Das Boot,69,Adventure,resmethrin,Wolfgang Petersen
1110,Dragonslayer,98,Action,angledozer,Matthew Robbins
1111,Escape from New York,18,Action,ethoxylate,John Carpenter
1112,For Your Eyes Only,24,Action,ursidae,John Glen
1113,Friday the 13th Part 2,11,Horror,whippowill,Steve Miner
1114,Mad Max 2: The Road Warrior,32,Action,silurid,George Miller
1115,Porky's,88,Comedy,bardiche,Bob Clark
1116,Raiders of the Lost Ark,45,Action,logicists,Steven Spielberg
1117,Roar,30,Adventure,parroter,Noel Marshall
1118,Sphinx,3,Adventure,hell-rake,Franklin J. Schaffner
1119,Stripes,2,Action,triphylite,Ivan Reitman
1120,The Beyond,5,Horror,distancy,Lucio Fulci
1121,The Howling,81,Horror,spinnies,Joe Dante
1122,The Legend of the Lone Ranger,44,Action,resmethrin,William A. Fraker
1123,Time Bandits,14,Adventure,angledozer,Terry Gilliam
1124,Under the Rainbow,81,Comedy,ethoxylate,Steve Rash
1125,Blade Runner,37,Sci-Fi,ursidae,Ridley Scott
1126,Conan the Barbarian,77,Adventure,whippowill,John Milius
1127,Diner,84,Comedy,silurid,Barry Levinson
1128,E.T. the Extra-Terrestrial,92,Family,bardiche,Steven Spielberg
1129,Firefox,85,Action,logicists,Clint Eastwood
1130,Friday the 13th Part III,11,Horror,parroter,Steve Miner
1131,Halloween III: Season of the Witch,88,Horror,hell-rake,Tommy Lee Wallace
1132,Megaforce,89,Action,triphylite,Hal Needham
1133,Poltergeist,56,Fantasy,distancy,Tobe Hooper
1134,Star Trek II: The Wrath of Khan,78,Action,spinnies,Nicholas Meyer
1135,The Best Little Whorehouse in Texas,56,Comedy,resmethrin,Colin Higgins
1136,The Thing,67,Horror,angledozer,John Carpenter
1137,The Verdict,95,Drama,ethoxylate,Sidney Lumet
1138,Tootsie,47,Comedy,ursidae,Sydney Pollack
1139,Flashdance,4,Drama,whippowill,Adrian Lyne
1140,Lone Wolf McQuade,81,Action,silurid,Steve Carver
1141,National Lampoon's Vacation,93,Adventure,bardiche,Harold Ramis
1142,Never Say Never Again,81,Action,logicists,Irvin Kershner
1143,Octopussy,14,Action,parroter,John Glen
1144,Scarface,93,Crime,hell-rake,Brian De Palma
1145,Star Wars: Episode VI - Return of the Jedi,95,Action,triphylite,Richard Marquand
1146,Superman III,43,Action,distancy,Richard Lester
1147,The Outsiders,82,Crime,spinnies,Francis Ford Coppola
1148,The Right Stuff,1,Adventure,resmethrin,Philip Kaufman
1149,Twilight Zone: The Movie,37,Fantasy,angledozer,Joe Dante
1150,WarGames,52,Sci-Fi,ethoxylate,John Badham
1151,Yentl,92,Drama,ursidae,Barbra Streisand
1152,A Nightmare on Elm Street,43,Horror,whippowill,Wes Craven
1153,A Passage to India,12,Adventure,silurid,David Lean
1154,Amadeus,14,Biography,bardiche,Milos Forman
1155,Beverly Hills Cop,41,Action,logicists,Martin Brest
1156,Conan the Destroyer,90,Action,parroter,Richard Fleischer
1157,Dune,56,Action,hell-rake,David Lynch
1158,Firestarter,37,Action,triphylite,Mark L. Lester
1159,Footloose,41,Drama,distancy,Herbert Ross
1160,Friday the 13th: The Final Chapter,63,Horror,spinnies,Joseph Zito
1161,Gremlins,32,Comedy,resmethrin,Joe Dante
1162,Indiana Jones and the Temple of Doom,7,Action,angledozer,Steven Spielberg
1163,Once Upon a Time in America,46,Crime,ethoxylate,Sergio Leone
1164,Police Academy,29,Comedy,ursidae,Hugh Wilson
1165,Splash,34,Comedy,whippowill,Ron Howard
1166,Star Trek III: The Search for Spock,39,Action,silurid,Leonard Nimoy
1167,The Bounty,65,Action,bardiche,Roger Donaldson
1168,The Cotton Club,28,Crime,logicists,Francis Ford Coppola
1169,The Hotel New Hampshire,82,Comedy,parroter,Tony Richardson
1170,The Karate Kid,39,Action,hell-rake,John G. Avildsen
1171,The Terminator,29,Action,triphylite,James Cameron
1172,A Nightmare on Elm Street 2: Freddy's Revenge,51,Fantasy,distancy,Jack Sholder
1173,A Room with a View,74,Drama,spinnies,James Ivory
1174,A View to a Kill,32,Action,resmethrin,John Glen
1175,Back to the Future,23,Adventure,angledozer,Robert Zemeckis
1176,Brazil,97,Drama,ethoxylate,Terry Gilliam
1177,Friday the 13th: A New Beginning,6,Horror,ursidae,Danny Steinmann
1178,Mad Max Beyond Thunderdome,98,Action,whippowill,George Miller
1179,Out of Africa,64,Biography,silurid,Sydney Pollack
1180,Pale Rider,43,Western,bardiche,Clint Eastwood
1181,Rambo: First Blood Part II,56,Action,logicists,George P. Cosmatos
1182,Silverado,37,Action,parroter,Lawrence Kasdan
1183,The Color Purple,54,Drama,hell-rake,Steven Spielberg
1184,The Last Dragon,60,Action,triphylite,Michael Schultz
1185,Witness,70,Crime,distancy,Peter Weir
1186,Young Sherlock Holmes,86,Adventure,spinnies,Barry Levinson
1187,9Â? Weeks,49,Drama,resmethrin,Adrian Lyne
1188,Aliens,74,Action,angledozer,James Cameron
1189,April Fool's Day,19,Horror,ethoxylate,Fred Walton
1190,Big Trouble in Little China,64,Action,ursidae,John Carpenter
1191,Crocodile Dundee,82,Adventure,whippowill,Peter Faiman
1192,Highlander,4,Action,silurid,Russell Mulcahy
1193,Howard the Duck,33,Action,bardiche,Willard Huyck
1194,Invaders from Mars,12,Horror,logicists,Tobe Hooper
1195,Jason Lives: Friday the 13th Part VI,77,Horror,parroter,Tom McLoughlin
1196,Legal Eagles,26,Comedy,hell-rake,Ivan Reitman
1197,Little Shop of Horrors,12,Comedy,triphylite,Frank Oz
1198,Peggy Sue Got Married,56,Comedy,distancy,Francis Ford Coppola
1199,Platoon,74,Drama,spinnies,Oliver Stone
1200,River's Edge,12,Crime,resmethrin,Tim Hunter
1201,Shanghai Surprise,62,Adventure,angledozer,Jim Goddard
1202,She's Gotta Have It,21,Comedy,ethoxylate,Spike Lee
1203,Stand by Me,92,Adventure,ursidae,Rob Reiner
1204,Star Trek IV: The Voyage Home,51,Adventure,whippowill,Leonard Nimoy
1205,The Clan of the Cave Bear,11,Adventure,silurid,Michael Chapman
1206,The Color of Money,23,Drama,bardiche,Martin Scorsese
1207,The Golden Child,61,Action,logicists,Michael Ritchie
1208,The Texas Chainsaw Massacre 2,12,Comedy,parroter,Tobe Hooper
1209,The Wraith,69,Action,hell-rake,Mike Marvin
1210,Top Gun,98,Action,triphylite,Tony Scott
1211,Witchboard,18,Horror,distancy,Kevin Tenney
1212,3 Men and a Baby,24,Comedy,spinnies,Leonard Nimoy
1213,A Nightmare on Elm Street 3: Dream Warriors,11,Action,resmethrin,Chuck Russell
1214,American Ninja 2: The Confrontation,32,Action,angledozer,Sam Firstenberg
1215,Beverly Hills Cop II,88,Action,ethoxylate,Tony Scott
1216,Creepshow 2,45,Comedy,ursidae,Michael Gornick
1217,Cry Freedom,30,Biography,whippowill,Richard Attenborough
1218,Evil Dead II,3,Comedy,silurid,Sam Raimi
1219,Fatal Attraction,2,Drama,bardiche,Adrian Lyne
1220,From a Whisper to a Scream,5,Action,logicists,Jeff Burr
1221,"Good Morning, Vietnam",81,Biography,parroter,Barry Levinson
1222,Hellraiser,44,Fantasy,hell-rake,Clive Barker
1223,Hollywood Shuffle,14,Comedy,triphylite,Robert Townsend
1224,Ishtar,81,Action,distancy,Elaine May
1225,Jaws: The Revenge,37,Adventure,spinnies,Joseph Sargent
1226,La Bamba,77,Biography,resmethrin,Luis Valdez
1227,Malone,84,Action,angledozer,Harley Cokeliss
1228,Maurice,92,Drama,ethoxylate,James Ivory
1229,Predator,85,Action,ursidae,John McTiernan
1230,Prison,11,Crime,whippowill,Renny Harlin
1231,Radio Days,88,Comedy,silurid,Woody Allen
1232,Spaceballs,89,Adventure,bardiche,Mel Brooks
1233,Superman IV: The Quest for Peace,56,Action,logicists,Sidney J. Furie
1234,Teen Wolf Too,78,Comedy,parroter,Christopher Leitch
1235,The Barbarians,56,Adventure,hell-rake,Ruggero Deodato
1236,The Last Emperor,67,Biography,triphylite,Bernardo Bertolucci
1237,The Living Daylights,95,Action,distancy,John Glen
1238,The Princess Bride,47,Adventure,spinnies,Rob Reiner
1239,The Running Man,4,Action,resmethrin,Paul Michael Glaser
1240,The Untouchables,81,Crime,angledozer,Brian De Palma
1241,Wall Street,93,Crime,ethoxylate,Oliver Stone
1242,A Nightmare on Elm Street 4: The Dream Master,81,Fantasy,ursidae,Renny Harlin
1243,Action Jackson,14,Action,whippowill,Craig R. Baxley
1244,Akira,93,Action,silurid,Katsuhiro Ã”tomo
1245,Beetlejuice,95,Comedy,bardiche,Tim Burton
1246,Big,43,Comedy,logicists,Penny Marshall
1247,Bloodsport,82,Action,parroter,Newt Arnold
1248,"Bright Lights, Big City",1,Drama,hell-rake,James Bridges
1249,Child's Play,37,Fantasy,triphylite,Tom Holland
1250,Crocodile Dundee II,52,Action,distancy,John Cornell
1251,Dangerous Liaisons,92,Drama,spinnies,Stephen Frears
1252,Die Hard,43,Action,resmethrin,John McTiernan
1253,Friday the 13th Part VII: The New Blood,12,Horror,angledozer,John Carl Buechler
1254,Halloween 4: The Return of Michael Myers,14,Horror,ethoxylate,Dwight H. Little
1255,Lady in White,41,Fantasy,ursidae,Frank LaLoggia
1256,Midnight Run,90,Action,whippowill,Martin Brest
1257,My Stepmother Is an Alien,56,Comedy,silurid,Richard Benjamin
1258,Mystic Pizza,37,Comedy,bardiche,Donald Petrie
1259,Phantasm II,41,Action,logicists,Don Coscarelli
1260,Poltergeist III,63,Horror,parroter,Gary Sherman
1261,Rain Man,32,Drama,hell-rake,Barry Levinson
1262,Rambo III,7,Action,triphylite,Peter MacDonald
1263,School Daze,46,Comedy,distancy,Spike Lee
1264,Scrooged,29,Comedy,spinnies,Richard Donner
1265,Talk Radio,34,Drama,resmethrin,Oliver Stone
1266,The Land Before Time,39,Adventure,angledozer,Don Bluth
1267,The Last Temptation of Christ,65,Drama,ethoxylate,Martin Scorsese
1268,They Live,28,Horror,ursidae,John Carpenter
1269,Twins,82,Comedy,whippowill,Ivan Reitman
1270,Young Guns,39,Action,silurid,Christopher Cain
1271,A Nightmare on Elm Street 5: The Dream Child,29,Fantasy,bardiche,Stephen Hopkins
1272,Back to the Future Part II,51,Adventure,logicists,Robert Zemeckis
1273,Batman,74,Action,parroter,Tim Burton
1274,Bill & Ted's Excellent Adventure,32,Adventure,hell-rake,Stephen Herek
1275,Black Rain,23,Action,triphylite,Ridley Scott
1276,Born on the Fourth of July,97,Biography,distancy,Oliver Stone
1277,Dead Poets Society,6,Comedy,spinnies,Peter Weir
1278,Do the Right Thing,98,Drama,resmethrin,Spike Lee
1279,Driving Miss Daisy,64,Comedy,angledozer,Bruce Beresford
1280,Friday the 13th Part VIII: Jason Takes Manhattan,43,Adventure,ethoxylate,Rob Hedden
1281,Glory,56,Drama,ursidae,Edward Zwick
1282,Halloween 5,37,Horror,whippowill,Dominique Othenin-Girard
1283,Henry V,54,Action,silurid,Kenneth Branagh
1284,Indiana Jones and the Last Crusade,60,Action,bardiche,Steven Spielberg
1285,Licence to Kill,70,Action,logicists,John Glen
1286,Major League,86,Comedy,parroter,David S. Ward
1287,New York Stories,49,Comedy,hell-rake,Woody Allen
1288,Pet Sematary,74,Fantasy,triphylite,Mary Lambert
1289,Road House,19,Action,distancy,Rowdy Herrington
1290,Roger & Me,64,Documentary,spinnies,Michael Moore
1291,Sea of Love,82,Crime,resmethrin,Harold Becker
1292,"Sex, Lies, and Videotape",4,Drama,angledozer,Steven Soderbergh
1293,Star Trek V: The Final Frontier,33,Action,ethoxylate,William Shatner
1294,Tango & Cash,12,Action,ursidae,Andrey Konchalovskiy
1295,The Abyss,77,Adventure,whippowill,James Cameron
1296,The Blood of Heroes,26,Action,silurid,David Webb Peoples
1297,The Toxic Avenger Part II,12,Action,bardiche,Michael Herz
1298,Troop Beverly Hills,56,Adventure,logicists,Jeff Kanew
1299,UHF,74,Comedy,parroter,Jay Levey
1300,Warlock,12,Action,hell-rake,Steve Miner
1301,We're No Angels,62,Comedy,triphylite,Neil Jordan
1302,When Harry Met Sally...,21,Comedy,distancy,Rob Reiner
1303,Arachnophobia,92,Comedy,spinnies,Frank Marshall
1304,Back to the Future Part III,51,Adventure,resmethrin,Robert Zemeckis
1305,Child's Play 2,11,Fantasy,angledozer,John Lafia
1306,Dances with Wolves,23,Adventure,ethoxylate,Kevin Costner
1307,Days of Thunder,61,Action,ursidae,Tony Scott
1308,Dick Tracy,12,Action,whippowill,Warren Beatty
1309,Die Hard 2,69,Action,silurid,Renny Harlin
1310,Edward Scissorhands,98,Fantasy,bardiche,Tim Burton
1311,Flatliners,18,Drama,logicists,Joel Schumacher
1312,Ghost,24,Drama,parroter,Jerry Zucker
1313,Goodfellas,11,Biography,hell-rake,Martin Scorsese
1314,Gremlins 2: The New Batch,32,Comedy,triphylite,Joe Dante
1315,Home Alone,88,Comedy,distancy,Chris Columbus
1316,Kindergarten Cop,45,Action,spinnies,Ivan Reitman
1317,Marilyn Hotchkiss' Ballroom Dancing and Charm School,30,Comedy,resmethrin,Randall Miller
1318,Metropolitan,3,Comedy,angledozer,Whit Stillman
1319,Mo' Better Blues,2,Drama,ethoxylate,Spike Lee
1320,Predator 2,5,Action,ursidae,Stephen Hopkins
1321,Pretty Woman,81,Comedy,whippowill,Garry Marshall
1322,Quigley Down Under,44,Action,silurid,Simon Wincer
1323,Spaced Invaders,14,Adventure,bardiche,Patrick Read Johnson
1324,The Adventures of Ford Fairlane,81,Action,logicists,Renny Harlin
1325,The Godfather: Part III,37,Crime,parroter,Francis Ford Coppola
1326,The Hunt for Red October,77,Action,hell-rake,John McTiernan
1327,Total Recall,84,Action,triphylite,Paul Verhoeven
1328,Tremors,92,Comedy,distancy,Ron Underwood
1329,Two Evil Eyes,85,Horror,spinnies,Dario Argento
1330,Beastmaster 2: Through the Portal of Time,11,Action,resmethrin,Sylvio Tabet
1331,Bill & Ted's Bogus Journey,88,Adventure,angledozer,Peter Hewitt
1332,Boyz n the Hood,89,Crime,ethoxylate,John Singleton
1333,Cape Fear,56,Crime,ursidae,Martin Scorsese
1334,Double Impact,78,Action,whippowill,Sheldon Lettich
1335,Flight of the Intruder,56,Action,silurid,John Milius
1336,Freddy's Dead: The Final Nightmare,67,Comedy,bardiche,Rachel Talalay
1337,Harley Davidson and the Marlboro Man,95,Action,logicists,Simon Wincer
1338,Hook,47,Adventure,parroter,Steven Spielberg
1339,House Party 2,4,Comedy,hell-rake,George Jackson
1340,Hudson Hawk,81,Action,triphylite,Michael Lehmann
1341,JFK,93,Drama,distancy,Oliver Stone
1342,My Girl,81,Comedy,spinnies,Howard Zieff
1343,My Own Private Idaho,14,Drama,resmethrin,Gus Van Sant
1344,Return to the Blue Lagoon,93,Adventure,angledozer,William A. Graham
1345,Robin Hood: Prince of Thieves,95,Action,ethoxylate,Kevin Reynolds
1346,Showdown in Little Tokyo,43,Action,ursidae,Mark L. Lester
1347,Slacker,82,Comedy,whippowill,Richard Linklater
1348,Star Trek VI: The Undiscovered Country,1,Action,silurid,Nicholas Meyer
1349,Stone Cold,37,Action,bardiche,Craig R. Baxley
1350,Straight Out of Brooklyn,52,Crime,logicists,Matty Rich
1351,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,92,Action,parroter,Michael Pressman
1352,Terminator 2: Judgment Day,43,Action,hell-rake,James Cameron
1353,The Addams Family,12,Comedy,triphylite,Barry Sonnenfeld
1354,The Doors,14,Biography,distancy,Oliver Stone
1355,The Fisher King,41,Comedy,spinnies,Terry Gilliam
1356,The Naked Gun 2Â?: The Smell of Fear,90,Comedy,resmethrin,David Zucker
1357,The Prince of Tides,56,Drama,angledozer,Barbra Streisand
1358,The Silence of the Lambs,37,Crime,ethoxylate,Jonathan Demme
1359,White Fang,41,Adventure,ursidae,Randal Kleiser
1360,A Few Good Men,63,Drama,whippowill,Rob Reiner
1361,A League of Their Own,32,Comedy,silurid,Penny Marshall
1362,Aladdin,7,Adventure,bardiche,Ron Clements
1363,Alien 3,46,Action,logicists,David Fincher
1364,Army of Darkness,29,Comedy,parroter,Sam Raimi
1365,Batman Returns,34,Action,hell-rake,Tim Burton
1366,Boomerang,39,Comedy,triphylite,Reginald Hudlin
1367,Bram Stoker's Dracula,65,Fantasy,distancy,Francis Ford Coppola
1368,Death Becomes Her,28,Comedy,spinnies,Robert Zemeckis
1369,El Mariachi,82,Action,resmethrin,Robert Rodriguez
1370,Fortress,39,Action,angledozer,Stuart Gordon
1371,Glengarry Glen Ross,29,Crime,ethoxylate,James Foley
1372,Hoffa,51,Biography,ursidae,Danny DeVito
1373,Home Alone 2: Lost in New York,74,Adventure,whippowill,Chris Columbus
1374,Lethal Weapon 3,32,Action,silurid,Richard Donner
1375,Light Sleeper,23,Crime,bardiche,Paul Schrader
1376,Malcolm X,97,Biography,logicists,Spike Lee
1377,Medicine Man,6,Adventure,parroter,John McTiernan
1378,Memoirs of an Invisible Man,98,Comedy,hell-rake,John Carpenter
1379,My Cousin Vinny,64,Comedy,triphylite,Jonathan Lynn
1380,Patriot Games,43,Action,distancy,Phillip Noyce
1381,Radio Flyer,56,Drama,spinnies,Richard Donner
1382,Raising Cain,37,Crime,resmethrin,Brian De Palma
1383,Reservoir Dogs,54,Crime,angledozer,Quentin Tarantino
1384,Split Second,60,Action,ethoxylate,Tony Maylam
1385,The Bodyguard,70,Action,ursidae,Mick Jackson
1386,The Crying Game,86,Crime,whippowill,Neil Jordan
1387,The Last of the Mohicans,49,Action,silurid,Michael Mann
1388,The Lawnmower Man,74,Horror,bardiche,Brett Leonard
1389,The Mighty Ducks,19,Comedy,logicists,Stephen Herek
1390,The Muppet Christmas Carol,64,Comedy,parroter,Brian Henson
1391,Unforgiven,82,Drama,hell-rake,Clint Eastwood
1392,Wayne's World,4,Comedy,triphylite,Penelope Spheeris
1393,Airborne,33,Adventure,distancy,Rob Bowman
1394,Alive,12,Adventure,spinnies,Frank Marshall
1395,"Blood In, Blood Out",77,Crime,resmethrin,Taylor Hackford
1396,Cliffhanger,26,Action,angledozer,Renny Harlin
1397,Cool Runnings,12,Adventure,ethoxylate,Jon Turteltaub
1398,Dazed and Confused,56,Comedy,ursidae,Richard Linklater
1399,Excessive Force,74,Action,whippowill,Jon Hess
1400,Gettysburg,12,Drama,silurid,Ron Maxwell
1401,Groundhog Day,62,Comedy,bardiche,Harold Ramis
1402,Hocus Pocus,21,Comedy,logicists,Kenny Ortega
1403,Jason Goes to Hell: The Final Friday,92,Fantasy,parroter,Adam Marcus
1404,Jurassic Park,51,Adventure,hell-rake,Steven Spielberg
1405,Killing Zoe,11,Crime,triphylite,Roger Avary
1406,Last Action Hero,23,Action,distancy,John McTiernan
1407,Les visiteurs,61,Comedy,spinnies,Jean-Marie PoirÃ©
1408,Loaded Weapon 1,12,Action,resmethrin,Gene Quintano
1409,Madadayo,69,Drama,angledozer,Akira Kurosawa
1410,Menace II Society,98,Crime,ethoxylate,Albert Hughes
1411,Mrs. Doubtfire,18,Comedy,ursidae,Chris Columbus
1412,Much Ado About Nothing,24,Comedy,whippowill,Kenneth Branagh
1413,Nowhere to Run,11,Action,silurid,Robert Harmon
1414,Only the Strong,32,Action,bardiche,Sheldon Lettich
1415,Philadelphia,88,Drama,logicists,Jonathan Demme
1416,Poetic Justice,45,Drama,parroter,John Singleton
1417,RoboCop 3,30,Action,hell-rake,Fred Dekker
1418,Romeo Is Bleeding,3,Action,triphylite,Peter Medak
1419,Ruby in Paradise,2,Drama,distancy,Victor Nunez
1420,Schindler's List,5,Biography,spinnies,Steven Spielberg
1421,Shadowlands,81,Biography,resmethrin,Richard Attenborough
1422,Sugar Hill,44,Drama,angledozer,Leon Ichaso
1423,Super Mario Bros.,14,Adventure,ethoxylate,Annabel Jankel
1424,Teenage Mutant Ninja Turtles III,81,Action,ursidae,Stuart Gillard
1425,The Adventures of Huck Finn,37,Adventure,whippowill,Stephen Sommers
1426,The Age of Innocence,77,Drama,silurid,Martin Scorsese
1427,The Firm,84,Drama,bardiche,Sydney Pollack
1428,The Fugitive,92,Action,logicists,Andrew Davis
1429,The Nutcracker,85,Family,parroter,Emile Ardolino
1430,The Pelican Brief,11,Crime,hell-rake,Alan J. Pakula
1431,The Piano,88,Drama,triphylite,Jane Campion
1432,The Princess and the Cobbler,89,Action,distancy,Richard Williams
1433,The Remains of the Day,56,Drama,spinnies,James Ivory
1434,Tombstone,78,Action,resmethrin,George P. Cosmatos
1435,True Romance,56,Action,angledozer,Tony Scott
1436,Warlock: The Armageddon,67,Fantasy,ethoxylate,Anthony Hickox
1437,What's Eating Gilbert Grape,95,Drama,ursidae,Lasse HallstrÃ¶m
1438,3 Ninjas Kick Back,47,Action,whippowill,Charles T. Kanganis
1439,A Low Down Dirty Shame,4,Action,silurid,Keenen Ivory Wayans
1440,Ace Ventura: Pet Detective,81,Comedy,bardiche,Tom Shadyac
